3 IN JAZZ;1965;label;Gary Burton,Sonny Rollins,Clark Terry,Gentle Wind,Nacio Herb Brown,Gerald Fried,Cielito Lindo,Michael Gibbs,Mark Gordon,Dave Franklin,Cliff Friend
4X4 (ALBUM DE CARLA BLEY);2000;label;Steve Swallow,Wolfgang Puschnig,Gary Valente,Kevin Whitehead,Paolo Fresu
9/11 P.M. TOWN HALL;1988;label;Martial Solal,Michel Portal,Joachim Kuhn,Daniel Humair,Marc Ducret,Dave Douglas,Stephane Grappelli,Johnny Griffin,Dave Liebman
A BEAUTIFUL FRIENDSHIP;1977;label;Gerry Wiggins,Major Holley,Dominique Samarcq,Wig Is,Wild Bill Davis
A BRIGHTER DAY;2000;label;Ronny Jordan,Mambo Inn,Steve Wilson,Jill Jones,Brian Mitchell,Neil Clarke,Philip Hamilton
A GARLAND OF RED;1956;label;Bob Weinstock,Paul Chambers,Billy Eckstine,Dizzy Gillespie,Charlie Parker,Fats Navarro,Dexter Gordon,Sonny Stitt,Miles Davis,Coleman Hawkins,Roy Eldridge,Ben Webster,Philly Joe Jones,Bill Evans,John Swenson,Doug Ramsey,Richard Dunscomb,Willie L.,Hill Jr.
A HOT NIGHT IN PARIS;1999;label;Phil Collins,Daryl Stuermer,Don Murray,Miles Davis,Harry Kim,Brad Cole,Doug Richeson,Daniel Fornero,Ron Modell,Scott Bliege,Mark Bettcher,Chris Collins,Ian Nevins,Kevin Sheehan,True Colors,Brand X
A JOURNEY (ALBUM);2015;label;Maciek Pysz,Ralph Towner,Gianluca Corona,Fresh Look,Yuri Goloubev,Stephen Graham,Ian Mann,Tim Dickeson,Daniel Sutka,Jan Mika
A NIGHT AT THE VANGUARD;1960;label;Kenny Burrell,Jack Tracy,Richard Davis,Roy Haynes,Sonny Rollins,Kenny Burrel,Wayne State,Phil Macy,Don Gold,Chuck Stewart,Don Bronstein,Paul Silbergleit,John Coltrane,Shelton Brooks,Jack Wolf,Billy Byrd,Henri Woode,Soft Winds,Benny Goodman,Duke Ellington
AFRICA (ALBUM DE PHAROAH SANDERS);1987;label;Pharoah Sanders,Oh Lord,John Coltrane,Ogden Nash,John Hicks,Curtis Lundy,Idris Muhammad
ANDANDO EL TIEMPO;2016;label;Steve Swallow,Stelio Molo,Manfred Eicher,John Kelman,Paul Haines,Claude Debussy,Matt Collar,Seth Colter Walls,Paolo Fresu
THE ANTIDOTE (RONNY JORDAN);1992;label;Ronny Jordan,Miles Davis,Summer Smile,Isabel Roberts,Phillip Bent,Joe Bashorun,Kevin Rutherford
ARE WE THERE YET? (ALBUM DE CARLA BLEY);1999;label;Steve Swallow,Phil Woods,Bill Bennett,Paolo Fresu
THE ASTOUNDING EYES OF RITA;2009;label;Manfred Eicher,Mahmoud Darwich,Waking State,Klaus Gesing
ASTRAKAN CAFE;2000;label;Manfred Eicher,Barbaros Erkose,Markus Heiland,Gerald Minkoff,Nihawend Lunga
AT NEWPORT '63;1963;label;Martial Solal,Teddy Kotick,Paul Motian,Oscar Peterson,George Wein,Joe Morgen,Bill Evans,Joe Glaser,Mais Solal,Guy Pedersen,Daniel Humair,Duke Ellington,Dizzy Gillespie,Martin Williams,Manuel Lliso,Nat Simon,Gil Evans,Bronislaw Kaper,Walter Jurmann,Franck Medioni,Christopher Porter,French Modern,Francis Davis,Wider World,Thierry P. Benizeau,Franck Bergerot,Dave Douglas,Stephane Grappelli,Johnny Griffin,Dave Liebman,Michel Portal
AURORA (ALBUM D'AVISHAI COHEN);2009;label;Itamar Doari,Joe Ferla,Nicolas Pflug,Gently Disturbed,El Hatzipor,Been So Long,Shir Preda,Ezion Gever,Richard Robert,Paola Genone
BALADE DU 10 MARS;1999;label;Martial Solal,Marc Johnson,Paul Motian,Bill Evans,Robert Spencer,Sigmund Romberg,Frederick Loewe,Sam Coslow,Penguin UK,Dave Douglas,Stephane Grappelli,Johnny Griffin,Dave Liebman,Michel Portal
BARZAKH;1991;label;Manfred Eicher,Bechir Selmi,Jan Erik Kongshaug,Barbara Wojirsch,Raf Raf,Bou Naouara,Stephen Cook
BEASTS OF NO NATION (ALBUM);1989;label;Fela Kuti,Wally Badarou,Margaret Thatcher,Pieter Willem Botha,Femi Oladegunwa,Clifford Itoje,Itam Mann,Soji Odukogbe,Festus Okotie,Benjamin Ijagun,Kola Ono,Bola Taiwo,Stephen Ukem,Oye Shobowale,Michael Obeatta,Nwale Omabuwa,Dele Olayinka,George Kassim,Idolo Umokoro,Kemi Omitola,Mary Umude,Ngozi Nwafor,Herve Marignac,Joelle Bauer,Serge Devesvre,Igna Igwebuike,Francois Moret,John Dougan
BEN WEBSTER MEETS OSCAR PETERSON;1959;label;Ben Webster,Oscar Peterson,Count Basie,Ella Fitzgerald,Stan Getz,Lionel Hampton,Harry Edison,Coleman Hawkins,Milt Jackson,Serge Truffaut,Consacrer Peterson,Prenez Ben Webster,Ben Webster Encounters Oscar Peterson,Ray Brown,Ed Thigpen,Stephen Frostberg,Stephen Cook,Bob Hilliard,David Mann,Benny Krueger,Ben Yagoda,Henry Martin,Keith Waters,David Dicaire,Frank Buchmann-Moller,George W. Harris
BIG BAND THEORY;1993;label;Bang Theory,Charles Mingus,Fresh Impression,Claude Deppa,Steve Waterman,Gary Valente,Richard Edwards,Roger Janotta,Wolfgang Puschnig,Pete Hurt,Karen Mantler,Steve Swallow,Dennis Mackrel,Paolo Fresu
BLOCK CHORDS PARADE;1974;label;Milt Buckner,Major Holley,Jo Jones,Nat King Cole,George Shearing,Barry Harris,Oscar Peterson,Erroll Garner,Bobby Timmons,Bill Evans,Dominique Samarcq,Gerry Wiggins,Xavier Brunetiere,Jacques Reda,Noah Baerman,Billy Mayhew,Johnny May,Gunther Schuller,Champian Fulton,Jerome Badini
BLUE AND SENTIMENTAL;1962;label;Ike Quebec,Roy Eldridge,Cab Calloway,Ella Fitzgerald,Trummy Young,Bud Powell,Sonny Clark,Grant Green,Chris May,John White,Philly Joe Jones,Count Basie,Herschel Evans,Paul Chambers,Miles Davis,Henry Nemo,Bruno Coquatrix,Sammy Gallop,Mais Sonny Clark,Sam Jones,Louis Hayes,Clement Romier
BLUE GENE (ALBUM DE GENE AMMONS);1958;label;Bob Weinstock,Idrees Sulieman,Mal Waldron,Doug Watkins,Tito Puente
BLUE SERGE;1956;label;Serge Chaloff,Bill Miller,Woody Herman,Boyd Raeburn,Jimmy Dorsey,Count Basie,Charlie Parker,Fabbri Editori,Chris May,Steven Cerra,Matty Malneck,Frank Signorelli,Sonny Clark,Philly Joe Jones,Core Collection List,Huffington Post,Jaap Ludeke
BOSS TENOR;1960;label;Tommy Flanagan,Doug Watkins,Coleman Hawkins,Sonny Rollins,Mark Keresman,Eddie Heywood,Charlie Parker,Bill Doggett,Lucky Millinder
BOSSA NOVA SOUL SAMBA;1962;label;Ike Quebec,Stan Getz,Roy Eldridge,Cab Calloway,Ella Fitzgerald,Trummy Young,Bud Powell,Sonny Clark,Joao Gilberto,Luiz Bonfa,Charlie Byrd,Coleman Hawkins,Kenny Burrell,Chris May,Wendell Marshall,Willie Bobo,Garvin Masseaux,Franz Liszt,Lloro Tu Despedida,John Camacho,Shu Shu,Joracy Camargo,Heckel Tavares,Linda Flor,Pedro Berrios,Henrique Vogeler,John White,Clement Romier
