A NIGHT IN TUNISIA (ALBUM DE 1960);date;label;Dizzy Gillespie,Frank Paparelli,Wayne Shorter,Bobby Timmons
AFTER BACH;date;label;Chris Thile,Robert Schumann,Johannes Brahms,Franz Schubert,Elegiac Cycle,Jacques Loussier,Frederic Chopin,Matt Collar,Bertrand Dermoncourt,Schweizer Hitparade,Nenad Georgievski,Eric Delhaye,Mike Hobart,Louis Victor,Marc Zisman,Chris Ingalls,Robert Baird,John Bungey,Kevin Hayes,Patrick Zimmerli,Mark Guiliana,Charlie Haden,Close Enough,Eyes Wide Shut
ALL OR NOTHING AT ALL;date;label;Duke Ellington,Bob Russell,Ogden Nash,Dorothy Parker,Sweets Edison,Ben Webster,Jimmy Rowles,Barney Kessel,Joe Mondragon
ALONE (ALBUM D'EVAN BREWER);date;label;Evan Brewer
APOCALYPSE (ALBUM DE THUNDERCAT);date;label;Taylor Graves,Zack Sekoff
ART OF LOVE: MUSIC OF MACHAUT;date;label;Moyen Age,Robert Sadin,Milton Nascimento,Madeleine Peyroux,Lionel Loueke,Hassan Hakmoun,Romero Lubambo,Marc Feldman,Cyro Baptista,Jasmine Thomas,John Ellis,Charles Curtis,Douce Dame,Mark Feldman,Seamus Blake,Matt Shulman,Dan Weiss,Graham Haynes,Celena Shafer,Dominique Queille
ASYLUM YEARS;date;label;Tom Waits,Jerry Yester,Rain Dogs,San Diego,Tom Traubert,Burma Shave,Stephen Sondheim,Bette Midler,Bill Goodwin,Jim Hughart,John Baeder,William Ruhlmann
AT MISTER KELLY'S;date;label;Sarah Vaughan,Bob Shad,Mister Kelly,Robert Dimery,Be Mine,Thou Swell,Matty Malneck,Frank Signorelli,Fats Waller,Julius Brammer,Nancy Hamilton,Joe Young,Nacio Herb Brown,Yip Harburg,Ray Henderson,Poor Butterfly,Raymond Hubbell,Jimmy Jones,Richard Davis,Roy Haynes,John Bush
BASS ON TOP;date;label;Paul Chambers,Otto Harbach,Charlie Parker,Dear Old Stockholm,Miles Davis,Kenny Burrell,Hank Jones,Harold Feinstein,Ron McMaster,Stephen Thomas Erlewine
THE BIG BEAT;date;label;Wayne Shorter,Bill Hardman,Dat Dere,Bobby Timmons,Yip Harburg
BLOWIN' THE BLUES AWAY;date;label;Horace Silver,Sister Sadie,Junior Cook,Eugene Taylor,Louis Hayes
THE BLUES AND THE ABSTRACT TRUTH;date;label;Oliver Nelson,Bill Cunliffe,Freddie Hubbard,Eric Dolphy,Bill Evans,Paul Chambers,Roy Haynes,Olivier Nelson,Pochette de
BOSSA ANTIGUA;date;label;Paul Desmond,Eugene Wright,Gene Cherico,Connie Kay,O Gato,Curacao Doloroso
