Name;Degree;Gender;Age;Birthyear;Instrument;Birthplace;Country;Labels;Styles;Ethnical origin
Jim Hughart;11;M;85;1936;Bass;Minneapolis;USA;Polydor, Interplay, Pablo Today, Asylum;Jazz;White
Siedah Garrett;11;F;61;1960;Vocal;Los Angeles;USA;Qwest Records;RnB;Black
Tom Harrell;11;M;75;1946;Trumpet;Urbana;USA;Verve, Blue Note, ECM, Concord;Jazz;White
Fayyaz Virji;11;M;61;1960;Trombone;Banbury;Royaume-Uni;Coup Perdu;Comtemporary music;Indian
Matt Penman;11;M;47;1974;Bass;Palmerston North;Nouvelle-Zélande;Fresh Sound;Jazz;White
Eric Harland;11;M;43;1978;Drum;Houston;USA;Telarc, Blue Note, Sony, ECM;Jazz;Black
Idrees Sulieman;12;M;98;1923;Trumpet;St. Petersburg;USA;Prestige;Jazz;Black
Tiny Grimes;12;M;105;1916;Guitar;Newport News;USA;Okeh, Columbia;Jazz;Black
Curley Russell;12;M;104;1917;Double Bass;New York;USA;Savoy Records, Prestige, Blue Note, Verve, OJC;Jazz, Bebop;White
Harold West;12;M;106;1915;Drum;Wolford;USA;;Jazz;Black
Richie Powell;12;M;90;1931;Piano;New York;USA;;Jazz, Bebop;Black
George Morrow;12;M;96;1925;Double Bass;Pasadena;USA;Verve, EmArcy, Columbia, Prestige;Jazz, Bebop;Black
John Wright;12;M;82;1939;Violon;Leicester;Royaume-Uni;Topic;Folk;White
Jerry Dodgion;12;M;89;1932;Saxophone;Richmond;USA;Pacific;Jazz;White
Barbara Winfield;12;F;89;1932;Vocal;New York;USA;Riverside;Jazz, Hard Bop;Black
Jimmy Garrison;12;M;87;1934;Double Bass;Miami;USA;Impulse!;Jazz;Black
Herbie Jones;12;M;95;1926;Trumpet;Miami;USA;Reprise, RCA Victor, RCA, Verve;Jazz;Black
Chuck Connor;12;M;91;1930;Trombone;Maysville;USA;Verve, Columbia;Jazz;Black
Howard Johnson;12;M;80;1941;Tuba;Montgomery;USA;JCOA Records, Watt, ECM;Jazz;Black
Gato Barbieri;12;M;89;1932;Saxophone;Rosario;Argentine;Impulse!, Columbia, Flying Dutchman;Jazz;Ispanic
Andrew Cyrille;12;M;82;1939;Drum;New York;USA;Music & Art;Jazz, Bebop, Post-Bop;Black
Vincent Chancey;12;M;85;1936;French Horn;Minneapolis;USA;In+Out, NoBuisness;Jazz;Black
Ronny Jordan;12;M;59;1962;Guitar;Londre;Royaume-Uni;Blue Note, N-Coded, Island Records;Jazz, Acid Jazz;Black
Olu Dara;12;M;80;1941;Trumpet;Natchez;USA;Atlantic, Columbia, Def Jam;Jazz;Black
Don Byron;12;M;63;1958;Clarinet;New York;USA;Blue Note, Cantaloupe, Elektra;Jazz;Black
Tony Cedras;12;M;69;1952;Accordion;Elsie's River;Afrique du Sud;Columbia;Jazz;Black
Johnathan Finlayson;12;M;39;1982;Trumpet;Oakland;USA;Pi Recordings;Jazz;Black
Jen Shyu;12;F;43;1978;Vocal;Peoria;USA;Pi Recordings, Label Bleu, Sunnyside, Cuneiform Records;Jazz;Asian
Nelson Veras;12;M;44;1977;Guitar;Salvador de Bahia;Brésil;Label Bleu, Bee Jazz;Jazz;Ispanic
Jason Moran;12;M;46;1975;Piano;Houston;USA;Blue Note, CAM Jazz, ECM, Enja;Jazz;Black
Eric Revis;12;M;54;1967;Double Bass;Los Angeles;USA;Clean Feed, Not Two, Pyroclastic;Jazz;Black
Sarah Murcia;12;F;45;1976;Double Bass;Paris;France;Label Bleu, EMI, Acords Croisés;Jazz;White
Eddie Costa;13;M;91;1930;Piano;Atlas;USA;Bethlehem Records;Jazz;White
Walter Benton;13;M;91;1930;Saxophone;Los Angeles;USA;Jazzland, Emarcy, Savoy, Candid;Jazz;Black
Peck Morrison;13;M;102;1919;Double Bass;Lancaster;USA;Prestige, Epic, Peacock, Blue Note;Jazz;Black
Porter Grainger;13;M;130;1891;Piano;Bowling Green;USA;Columbia;Jazz;Black
Curtis Fuller;13;M;87;1934;Trumpet;Detroit;USA;Blue Note, Epic;Jazz;Black
Archie Shepp;13;M;84;1937;Saxophone;Fort Lauderdale;USA;Impulse!, Enja;Jazz, Blues, Free Jazz;Black
Betty Carter;13;F;92;1929;Vocal;Flint;USA;Peacock, United Artists, Verve;Jazz;Black
Michel Bernholc;13;M;80;1941;Piano;Paris;France;Disques Barclay;Jazz;White
Manu Katche;13;M;63;1958;Drum;Saint-Maur-des-Fossés;France;ECM;Jazz, Pop, Rock;Black
Kamil Rustam;13;M;59;1962;Guitar;Amsterdam;Pays-Bas;Can U Feel It;Pop, Français, Film;White
Gary Windo;13;M;80;1941;Saxophone;Brighton;USA;Watt, ECM;Jazz;White
Peter Bernstein;13;M;54;1967;Guitar;New York;USA;Criss Cross, Smoke Session;Jazz;White
Benny Vasseur;13;M;95;1926;Trombone;Cambrai;France;President, Festival;Jazz;White
Francois Guin;13;M;83;1938;Trombone;Contres;France;Blue Star, Barclay;Jazz;White
Pierre Nicolas;13;M;100;1921;Double Bass;Paris;France;Universal, Mercury;Jazz, Français;White
Dorothy Donegan;13;F;99;1922;Piano;Chicago;USA;Regina, Mahogany, Audiophile, Black & Blue;Jazz, Bop, Swing;Black
Geo Daly;13;M;98;1923;Vibraphone;Bois-Colombes;France;President, Vogue, Sonorop;Jazz;White
Marcel Zanini;13;M;98;1923;Clarinet;Constantinople;Turquie;Black & Blue;Jazz;Arab
