Songhoy Blues ;2015;label;Aliou Toure (Lead vox / Guitar),Oumar Toure (Bass / Backing vox),Garba Toure (Guitar / Backing vox),Nathanael Dembele
Kwabs ;2015;label;Kwabena Adjepong (Vocals),George Moore (Keys),Todd Olivier-Fischman (guitar),Samuel Odiwe (Bass),Steven Bakari (drums),Lauren Johnson (backing vocals),Daine Dyer (Backi
Jerry Leonide Quintet ;2015;label;Jerry Leonide (Piano),Gino Chantoiseau (Bass),Arnaud Dolmen (Drums),Stephane Guillaume (Saxophone),Nicolas Folmer (T
The Bad Plus Joshua Redman ;2015;label;Ethan Everson (Piano),Reid Anderson (Bass),David King (Drums),Joshua Redman (Sa
Fakear ;2015;label;Theo Fakear (Artist),Rae Morris (vocal
Anna Calvi ;2015;label;Anna Calvi (Voice),Mally Harpaz (Multi-instrumentalist),Alex Thomas (Drums),Ben Christophers 
The Kooks ;2015;label;Luke Pritchard (vocals,Hugh Harris (guitar,Peter Denton (bass,Alexis Nunez (dru
Alita Moses ;2015;label;Alita Moses (VOICE),Jerry Leonide (PIANO),Fred Bintner (DRUMS),Zacharie Abraham 
Jacob Collier ;2015;label;Jacob Collier (Vocals,Melodica)        
Joke ;2015;label;Joke (Lead vocals),Bips (backing vocals),Asura (DJ)       
A$AP Rocky ;2015;label;ASAP Rocky (Lead MC),ASAP Twelvy (MC),ASAP Nast (MC),A$ASP Ant (MC),A$AP J.Scott (DJ),Hector Delgado (D
Downtown Boogie ;2017;label;DJ Green Giant (DJ),Vincz lee (DJ),Jiggy Jones (MC)
Isaac Delusion ;2015;label;Loic Fleury (Vocals,Jules Pacotte (Machine/pads,Nicolas Bourrigan (Bass),Bastien Dodard (Keys,percussions)     
Somi ;2015;label;Somi (Lead Vocals),Toru Dodo (Piano),Ben Williams (BASS),Otis Brown III (Drums/Percussion),NIR FELDER (GUITA
Asaf Avidan ;2015;label;Asaf Avidan (Vocals),Michal Bashiri (vocals,Dan Zeitune (Bass,Liron Meshulam (vocals,Zohar Ginzburg (guitar,Gad Peter (Drums,backing vocals)  
AaRON ;2015;label;Simon Buret (Vocals),Olivier Coursier (guitar,backing vocals,drum pad),Bertrand Flamain (keys,Leonie Pernet (drums,backing vocals,drum pad)        
Zaz ;2015;label;"Michael Conus (3rd Trumpet),Francesco D'Urso (3rd Trombone),Vincent Daoud (Alto Saxophone),Alexandre Dutruel (5th Trumpet),Laurent Estoppey (Tenor Saxophone),Vincent Harnois (2nd Trombone),Cyril Ledermann (4th Trumpet),Philippe Savoy (Baritone Saxophone),Ronan Yvin (Bass trombone),Isabelle Geffroy (Artist),Ilan Abou (Musical Director,Thierry Faure (Musical Director,Yoann Schmidt (Drums),Guillaume Juhel (Guitars),Edouard Algayon (Guitars),Guillaume Poncelet (Trumpet,Claude Egea (Trumpet),Eric Seva (Saxophon Soprano &amp; Tenor),Frederic Couderc (Saxophons Baryton &amp; Alto,Denis Leloup (Trombone),Jean-Marc Reyno (Choister),Fabrice Claire (Choister),Hugues Fleriag (Choister),Gregory Daijardin"
Caro Emerald ;2015;label;Caro Emerald (Vocals),Remon Hubert (Beats,Stephen Large (Keyboards,Musical Director),Jeroen Vierdag (Bass,Synth bass),Wieger Hoogendrop (Guitar,Backing Vocals),Ben Cummings (Trumpet,Backing Vocals),David Temple (Saxophone,Backing Vocals)  
Baxter Dury ;2015;label;Baxter Dury (vocals),Lee Canham (Bass),Michael Moore (guitar),Fabienne Debarre (keys,Freddy Sheed (dru
Bugge Wesseltoft feat. Dhafer Youssef ;2004;label;Bugge Wesseltoft (grand piano,Jonas Lonna (rythms,Rickard Gensollen (percussions),Olb Morten Vagan (electric + acoustic bass),Bye Andreas (drums),Vagen Jan Martin (VJ-lights),Dhafer Youssef (vocals,oud)             
