University Of Texas Arlington Jazz Band ;guest;label;University Of Texas Arlington Jazz Band (),Clark Terry ()   
Warren Bernhardt and Mike Mainieri ;1978;label;Mike Mainieri (vb),Warren Bernhardt (p,kbds)            
Willie Mabon ;1978;label;Willie Mabon (voc,Odie Payne (dr)  
Xanadu All Stars 1 ;1978;label;Ronnie Cuber (b-sax),Barry Harris (p),Billy Mitchell (ts),Dolo Coker (p),Sam Jones (b),Frank Butler (dr),Sam Noto (tp),Ted Dunbar (g),Sam Most (fl),Al Cohn (ts)     
Tony Williams Lifetime ;1971;label;Tony Williams (drums),Don Alias (percussion),Warren Smith (percussion),Ted Dunbar (guitar),Arthur Edward Booth (bass),Larry Young (orga
Xanadu All Stars 2 ;1978;label;Ronnie Cuber (bs),Barry Harris (p),Billy Mitchell (ts),Sam Jones (b),Frank Butler (dr),Sam Noto (tp),Al Cohn (ts)     
Xanadu All Stars 3 ;1978;label;Ronnie Cuber (bs),Barry Harris (p),Billy Mitchell (ts),Sam Noto (tp),Ted Dunbar (g),Sam Most (fl),Al Cohn (ts)     
Xanadu All Stars 4 ;1978;label;Ronnie Cuber (bs),Barry Harris (p),Louis Smith (tp),Billy Mitchell (ts),Dolo Coker (p),Sam Jones (b),Frank Butler (dr),Sam Noto (tp),Ted Dunbar (g),Sam Most (fl),Al Cohn (ts)     
Al Jarreau ;1979;label;Al Jarreau (marimba,Tom Canning (kbds),Pops Popwell (b),Tom Kellock (kbds),Joe Baron (dr)   
Albert Collins and The Icebreakers ;1979;label;"Clarence ""Gatemouth"" Brown (g),A. C. Reed (ts,Larry Burton (g),Aron Burton (b,Casey Jones (dr,Albert Collins (g,voc)             "
All Star Sextet ;1979;label;Armas Maiste (p),Alan Penfold (tp),Terry Clarke (dr),Don Thompson (b),P.J. Perry (ts,Butch Watenabe (t
B.B. King ;1979;label;"B.B. King (g,Calep Emphrey,Jr. (dr),Russell Jackson (b),Leonard Gill (g),Phil Blackman (kbds),Edgar Synigal (bs),Hilton Josephs (ts),Steve Sherard (tb),Lonny LaLanne (tp),Willie Cook (tp),Calvin Owens (tp,bd ld),Clarence ""Gatemouth"" Brown (g,Little Milton (g),Roy Clark (g),Taj Mahal (g),Albert Collins (g),Lonnie Brooks (g)"
Salome Bey ;1979;label;Salome Bey (voc),Denzil A. Miller Jr. (mus dir,kbds)            
Barbara Mandrell and Do-Rites - Afternoon ;1979;label;David Powellson (g,Barbara Mandrell (voc,Gary Smith (kbds,Lonnie Webb (synth,Dennis McCall (b,Randy Wright (dr,Mike Jones (steel
Bessie Griffin ;1979;label;Bessie Griffin (voc),Charles Barnett (p),Melvin James (b),Derrell Smith (dr
"Bingo Miki &amp; The Inner Galaxy Orchestra ";1979;label;Hidehiko Matsumoto (ts),Masaru Imada (p),Tetsuza Furutani (perc),Mari Nakamoto (vo
Buck Trent - Afternoon ;1979;label;Buck Trent (bjo) 
C M 5 ;1979;label;Francois Lindemann (p),Longineu W. Parson (fl,Francois Massy (b),Jan Gordon-Lennox (tp,Daniel Genton (dr
CALLIER ;TERRY;label;Terry Callier (g,Eric Hochberg (b),Penn McGee (congas,voc)             
Chops ;1979;label;Niels Pedersen (b),Joe Pass (g)     
Albert Collins and The Icebreakers ;19.07;label;A. C. Reed (ts,Larry Burton (g),Aron Burton (b,Casey Jones (dr,Albert Collins (g,voc)             
Concord Jazz in Montreux (1 ;2;label;Ray Brown (b),Jake Hanna (dr),Ross Tompkins (p)
Chick Corea and Herbie Hancock ;1979;label;Herbie Hancock (p),Chick Corea (p),Phineas Newborn (
"Clarence ""Gatemouth"" Brown and Gates Express - Afternoon ";1979;label;"Clarence ""Gatemouth"" Brown (g,Thomas Davis (dr),Randy Vincent (b),Joe Sunseri (s),Cal Freeman (steel g),Yvonne Brown (p) "
Clarence Gatemouth Brown Band ;1979;label;"Clarence ""Gatemouth"" Brown (g,Thomas Davis (dr),Randy Vincent (b),Joe Sunseri (s),Cal Freeman (steel g),Yvonne Brown (p) "
Concord Jazz In Montreux ;Thompkins;label;Ray Brown (b),Jake Hanna (dr),Herb Ellis (g),Ross Thompkins (p
Concord Jazz In Montreux ;Trio;label;Jeff Hamilton (dr),Herb Ellis (g),Michael Moor (b) 
Concord Jazz In Montreux ;Trio;label;Jeff Hamilton (dr),Herb Ellis (g),Michael Moor (b) 
Concord Jazz In Montreux ;Trio;label;Jeff Hamilton (dr),Herb Ellis (g),Michael Moor (b) 
Concord Jazz In Montreux ;Sextet;label;Jeff Hamilton (dr),Cal Collins (g),Michael Moore (b),Snooky Young (tp,Marshall Royal (as),Ross Thompkins (p
Concord Jazz In Montreux ;Sextet;label;Jeff Hamilton (dr),Cal Collins (g),Michael Moore (b),Snooky Young (tp,Marshall Royal (as),Ross Thompkins (p
Concord Jazz In Montreux ;Sextet;label;Jeff Hamilton (dr),Cal Collins (g),Michael Moore (b),Snooky Young (tp,Marshall Royal (as),Ross Thompkins (p
Concord Jazz In Montreux ;Sextet;label;Jeff Hamilton (dr),Cal Collins (g),Michael Moore (b),Snooky Young (tp,Marshall Royal (as),Ross Thompkins (p
