VAN'T HOF ;GROUP;label;Miroslav Vitous (b),Alphonse Mouzon (dr),Bob Malik (ts)   
Vantage Point ;1979;label;Don Savoie (p),Mark Tomorsky (g),John Lawrence (g),Charles Perraut (s),Johnny Morgan (dr),Tommy Johnsmiller (b),Sugar Blue (p)   
WAKEMAN ;BAND;label;Jon Anderson (hp,Rick Wakeman (kbds),Reg Brooks (tb),Dave Caswell (tp),Frank Gibson (dr),Ashley Holt (voc),Bruce Lynch (b)  
Weather Report ;1979;label;Joe Zawinul (kbds),Wayne Shorter (s),Jaco Pastorius (b),Peter Erskine (dr
Willie Bobo ;1979;label;Willie Bobo (timb,Abel Zarate (g),James Coile (ts,Welton Gite (b),Steve Gutierrez (dr),Anthony Horowitz (tp,Davis Kempton (kbds),Erroll Knowles (voc),Clay Lawrey (tb),Victor Pantoja (c
Abdullah Ibrahim Dollar Brand Group ;1980;label;Abdullah Ibrahim Dollar Brand (p,Carlos Ward (s,Craig Harris (tb),Alonzo Gardner (b),Andre Strobart (d
Albert Mangelsdorff Trio ;1980;label;Albert Mangelsdorff (tb),Ronald Shannon Jackson (dr),Jean Francois Jen
Amako-Kai ;1980;label;Sen Amano (ld),Toshiko Nakakuni (perc),Haruhiko Shimizu (perc),Yuzi Yamamura (perc),Kazuhito Yokouchi (perc),Yoshiharu Otani (perc),Teruo Nakata (perc),Zyuzo Yamate (perc),Kiyoshi Shimogami (perc),Shigekazu Nakanishi (perc),Yasushi Masuda (perc),Yoshiharu Shiraka
Art Blakey and the Jazz Messengers Big Band ;1980;label;Bobby Watson (as),James Williams (p),Wynton Marsalis (tp),Kevin Eubanks (g),Art Blakey (dr),Bill Pierce (ts),Valery Ponomarev (tp),Charles Fambrough (b),Robin Eubanks (tb),Branford Marsalis (bs),John Ramsey (dr) 
B.B. King ;1980;label;B.B. King (g,James Bolden (tp),Calep Emphery (dr),Edgar Synigal (s),Russell Jackson (b),Calvins Owens (tp),Arthur McLin (tp),Raymond Harris (tb),Robert Garner (ts),Leonard Grill (g),Joseph Carrier (k
BABY CONSUELO ;1980;label;Hugo Charles (perc),Luciano (kbds),Pepeu Gomes (g),Didi Gomes (b),Jorginho (dr),Baixinho (perc),Oswaldinho (acc),Baby Consuelo (vo
CONSUELO ;BABY;label;Baby Consuelo (voc),Heitor (g),Paulo Casarin (kbds),Luciano Alves (kbds),Didi Gomes (b),Charles Negrita (perc),Baixinho (perc),Joaozinho (perc),Jorge Gomez (dr) 
Betty Carter ;1980;label;Mulgrew Miller (p),Betty Carter (voc),Greg Bandy (dr),David Allen Euban
Brecker Brothers Band ;1980;label;Randy Brecker (tp),Michael Brecker (s),Barry Finnerty (g),Mark Gray (kbds),Neil Jason (b),Richard Morales (
Dizzy Gillespie ;Thielemans;label;"Dizzy Gillespie (tp,Toots Thielemans (g),Bernard ""Pretty"" "
Champion Jack Dupree ;1980;label;"Champion Jack Dupree (p,Bernard ""Pretty"" Purdie (dr),Carlton McWilliams (b),Lee Allen (s),David Douglas (g)"
Chico Hamilton Sextet ;1980;label;Jean-Paul Bourelly (g),Chico Hamilton (dr),Kathy Adair (voc),Paul Ramsey (b),Michael Santiago (g),George King Jr (s
"Clive Langer &amp; The Boxes ";1980;label;James Eller (b),Clive Langer (g,Ben Barson (kbds),Martin Hughes (dr
Diane Dufresne ;1980;label;"Andre Ceccarelli (dr),Diane Dufresne (voc),Antoine Bonfils (b),Jean-Claude ""Jaycee Grimms"" Chanavat (g),Daniel Goyone (p),Luc Plouton (kbds),Marc Golfaideur ("
Didier Lockwood Group ;1980;label;Jan Hammer (kbds),Didier Lockwood (vln),Bo Stief (b),Bob Malach (ts,Marc Perru (g),Gerry Brown (dr) 
Drum Summit ;1980;label;Didier Lockwood (vln),Chico Hamilton (dr),Gerry Brown (dr),Art Blakey (dr),Amano Kai (perc),Billy Higgins (dr
Electric Callas ;1980;label;Gangil Callas (voc),Jean-Jacques Marmouillat (s),Louis Chretiennot (g),Marie Girard (dr),Philipp Girard (b
"Elvis Costello &amp; The Attractions ";1980;label;Elvis Costello (voc,Pete Thomas (dr),Bruce Thomas (b),Steve Naive (kbds
Fats Domino ;1980;label;Carlton McWilliams (b),Lee Allen (s),Fats Domino (p,Thomas Johnson (tp),Joseph Johnson (dr),Roger Lewis (s),Frederick Kemp (s),Walter Kimble (s),Teddy Royal (g),Herber Hardesty (ts,David Doublas (g)
Gal Costa ;1980;label;Gal Costa (voc,Perna Fores (kbds),Moacyr Albuquerque (b),Perinho Santana (g),Charles Chalegre (dr),Sergio Bore (perc),Zizinho (congas,Juarez Araujo (s),Tangerina (congas,perc)            
Gato Barbieri Sextet ;1980;label;"Gato Barbieri (s,Bernard ""Pretty"" Purdie (dr),Edward Martinez (kbds),Bill Washer (g),Lincoln Goines (b),Skip Howlett (per"
George Coleman Octet ;1980;label;Clint Houston (b),George Coleman (ts,Harold Mabern (p),Billy Higgins (dr),Sal Nistico (ts),Danny Moore (flh),Mario Rivera (bs),Frank Strozier (as,fl)              
George Rabol ;1980;label;George Rabol (p) 
Gloria Niemann Quartet ;1980;label;Gloria Niemann (voc),Jurg Ammann (p),Michel Poffet (b),David Elias (dr) 
Janne Schaffer and Bjorn J son Lindh Group ;1980;label;Janne Schaffer (g),Bjorn J Son Lindh (fl,Stefan Nilsson (kbds),Christian Veltman (b),Per Lindvall (dr)
