A NIGHT IN TUNISIA (ALBUM DE 1960);1961;label;Bobby Timmons
AFTER BACH;2018;label;John Bungey
ALL OR NOTHING AT ALL;1958;label;Duke Ellington,Bob Russell,Sweets Edison,Ben Webster
ALONE (ALBUM D'EVAN BREWER);2011;label;
APOCALYPSE (ALBUM DE THUNDERCAT);2013;label;
ART OF LOVE: MUSIC OF MACHAUT;2009;label;Lionel Loueke,John Ellis
ASYLUM YEARS;year;label;Jerry Yester
AT MISTER KELLY'S;1958;label;Be Mine,Thou Swell,Joe Young,Poor Butterfly,John Bush
BASS ON TOP;1957;label;
THE BIG BEAT;1960;label;Bobby Timmons
BLOWIN' THE BLUES AWAY;1959;label;Junior Cook
THE BLUES AND THE ABSTRACT TRUTH;1961;label;Bill Cunliffe,Eric Dolphy,Olivier Nelson
BOSSA ANTIGUA;1965;label;Gene Cherico
BRIDGES (ALBUM);1977;label;Tom Wilson,Enrico Fermi,Gil Scott-Heron,Joe Blocker,Stephen J
BUHAINA'S DELIGHT;1963;label;
THE CALL (ALBUM DE CHARLES LLOYD);1993;label;Bobo Stenson
THE MOSAIC PROJECT;2011;label;Terri Lyne,Mimi Jones,Ingrid Jensen,Robert Hebert
CHICAGO (ALBUM);1970;label;Better End Soon,Don Young,John Berg,John Kellogg
CHICAGO XI;1977;label;Tom Likes,John Berg
CLIFFORD BROWN & MAX ROACH;1954;label;Clifford Brown,Bud Powell,Joy Spring,Duke Ellington,George Morrow,Richie Powell
DEVIL MAY CARE;1961;label;Johnny Griffin,Joe Young,Bob Dorough,Herb Ellis,Johnny Frigo,Seldon Powell,Wynton Kelly
DIPPIN';1966;label;Billy Higgins
DREAMLAND (ALBUM DES YELLOWJACKETS);1995;label;Bob Mintzer,Bobby McFerrin,Jim Newsom
DRUNK (ALBUM DE THUNDERCAT);2017;label;Kenny Loggins
THE EPIC (ALBUM);2017;label;Seth Colter,Rob Sheffield,Suzy Exposito,Jon Blistein
THE FAMOUS 1938 CARNEGIE HALL JAZZ CONCERT;1950;label;Duke Ellington,Teddy Wilson,George Koenig,Hymie Shertzer,Chris Griffin,Vernon Brown,Johnny Hodges,Loch Lomond,Dizzy Spells
FAR EAST SUITE;1967;label;Duke Ellington,Him Bill,Herbie Jones,Chuck Connor,Johnny Hodges,Rufus Jones,Ellington Indigos
FINGERPICKIN';1958;label;
FREE FOR ALL (ALBUM);1965;label;
FROM SPIRITUALS TO SWING;1959;label;Joe Turner,Pete Johnson,Bill Broonzy,Sonny Terry,Bessie Smith,Robert Johnson,Dicky Wells,Benny Morton,Jo Jones,Ruby Smith,Sidney Bechet,Willie Johnson,Henry Owens,Roll Morton,John Henry
THE GARY MCFARLAND ORCHESTRA (ALBUM);1963;label;Phil Woods
GETTIN' DOWN TO IT;1969;label;
GETZ AU GO GO;1964;label;Go Go,Gene Cherico,Helcio Milito,Joe Hunt,John Swenson
THE GOLDEN AGE OF APOCALYPSE;2011;label;
GUYS AND DOLLS LIKE VIBES;1958;label;
THE HARDBOP GRANDBOP;1996;label;Ronnie Cuber
HARMONY OF DIFFERENCE;2017;label;Young Turks,Whitney Museum,Chris Woods,Steve Smith
HERE IS PHINEAS;1956;label;Nesushi Ertegun
HORACE SILVER AND THE JAZZ MESSENGERS;1956;label;
IDLE MOMENTS;1965;label;Joe Henderson,Bobby Hutcherson
IN A METAL MOOD: NO MORE MR. NICE GUY;1997;label;Ozzy Osbourne,Holy Diver,Guns N,Mitch Holder,Bruce Dukov,Tom Scott,Pete Christlieb,Jeol Peskin,Chris Tedesco,Bruce Otto
IN A WESTERN SENSE;2003;label;El Frin
IN MEMORY OF NIKKI ARANE;1996;label;John Zorn,Rob Burger,Ben Perowsky
INDESTRUCTIBLE (ALBUM D'ART BLAKEY);1966;label;John Hicks
JAZZ IS A SPIRIT;2002;label;Jo Jones,Bob Hurst,Witch Hunt,Ron Wynn
J. R. MONTEROSE (ALBUM);1956;label;Eddie Bert,Philly Joe Jones,Buddy Rich,Enfin Monterose,Sonny Rollins,Bobbie Pin
KENNY BURRELL & JOHN COLTRANE;1963;label;Bob Weinstock,Lush Life,Duke Ellington,Sonny Rollins,Johnny Griffin,George Russell
LADY IN SATIN;1958;label;Joel Herron,George Ockner,Phil Bodner,Billy Butterfield,Milt Hinton,Osie Johnson
LEROY WALKS!;1958;label;Mort Dixon,Roy Turk
THE MAGIC TOUCH;1962;label;Joe Wilder,Jerry Dodgion,Johnny Griffin,George Duvivier,Philly Joe Jones
MODE FOR JOE;1966;label;Joe Henderson,Bobby Hutcherson
MONK'S MUSIC;1957;label;Gigi Gryce,Sonny Rollins,Criss Cross
MONTREUX '77 (ALBUM D'EDDIE DAVIS);1977;label;Jimmie Smith,John Swenson
MONTREUX '77 (ALBUM DE JOE PASS);1977;label;John Swenson
MONTREUX '77 (ALBUM D'OSCAR PETERSON);1977;label;Ted Persons,Giuseppe Pino,John Swenson
MONTREUX '77 (ALBUM DE ROY ELDRIDGE);1977;label;Roy Eldridge,Vic Dickenson,Gordon Clifford,Phil Stern,John Swenson
MY GENTLEMAN FRIEND;1961;label;Bruce Sievier,Ed Thigpen
MY SONG (ALBUM DE JOE PASS);1993;label;Bob Edmondson,Duke Ellington
NEW INCENTIVE;2007;label;Donvonte McCoy,John Hicks
NEWPORT REBELS;1961;label;Eric Dolphy,Roy Eldridge,Jo Jones,Peck Morrison
NO ROOM FOR SQUARES;1964;label;Old World,Philly Joe Jones
THE NUTCRACKER SUITE;1960;label;Duke Ellington,Willie Cook,Booty Wood,Johnny Hodges,Ellington Indigos,Him Bill
PRIDE (ALBUM DE DAVID AXELROD);1970;label;Nooney Rickett,Proud Sorrow,Richie Unterberger
RAH !;1961;label;Jon Hendricks,Joe Wilder,Wynton Kelly,George Duvivier,Ernie Wilkins,Jim Brit
RELATIVITY SUITE;1973;label;Don Cherry,John S. Wilson,Moki Cherry,John Swenson
RITUAL OF THE SAVAGE;1951;label;Busy Port,Stone God,Joel Whitburn
ROLL CALL (ALBUM DE HANK MOBLEY);1961;label;Wynton Kelly
SCIENCE FICTION (ALBUM D'ORNETTE COLEMAN);1972;label;Don Cherry,Billy Higgins
