KAEPPELI ;MARCO;label;R. Hausermann (fl,Hans Koch (s),Marco Kaeppeli (dr),Thomas Durst (b),Rene Widmer (sa,sb)              
Lava And Randy Crawford ;1986;label;Randy Crawford (voc),Egil Eldoen (voc),Svein Dag Hauge (g),Per Kolstad (kbds),Geir Kolstad (kbds),Sigurd Kohn (s),Rolf Graf (b),Per Hillestad (dr
Luther Allison And The Proffessor's Blues Review ;1986;label;Luther Allison (voc,Professor Eddie Lusk (voc,Anthony Palmer (g),Fred Barnes (b),Eddie Turner (dr)
MARIA ;DUKE;label;George Duke (voc,Eddie Gomez (b),Tania Maria (voc,Tommy Campbell (d
Malombo ;1986;label;"Phillip Tabane (voc,Mabi ""segwagwa"" Thobrjane (dr,Raymond Motau (pe"
Matt Bianco ;1986;label;Mark Fox (perc),Mark Reilly (voc,Jenni Evans (back voc),Janet Mooney (back voc),Mark Fisher (kbds),Roy Davidson (kbds),Ronnie Ross (fl,Steven Sidwell (tp,Randy Hope-Taylor (b),Trevor Murrell (dr),Robin Jones (perc
Mc Coy Tyner All Stars ;1986;label;Freddie Hubbard (tp),John Scofield (g),McCoy Tyner (p),Joe Henderson (ts),Avery Sharpe (b),Louis Hayes (dr) 
Michel Petrucciani ;Shorter;label;Wayne Shorter (s),Michel Petrucciani (p),Jim Hall (g)     
Miles Davis ;1986;label;Miles Davis (tpt,Bob Berg (ss,Robben Ford (g),Robert Irving III (synth),Adam Holzman (synth),Felton Crews (el-b),Vincent Wilburn Jr. (d),Steve Thornton (perc),David Sanborn (as),George Duke (synt
Nazare Pereira ;1986;label;"Nazare Pereira (voc,Walter Araujo (p,Antonio Do Carmo (g),Ozias Goncalves (b),Silvio Filho (b),Sonia Maria Oueiroz (perc),Haroldo ""coaty"" De Oliveira (dr,mus dir),Haroldo Basilio ("
Olympia Brass Band ;1986;label;"Milton Batiste (tr),Richard Matthews (grand Marshall),Edgar Smith (sousaphone),Edward Parish (tb),Harold Dejean (as),Ernest Watson (ts),Leroy ""boogie"" Breaux (snare dr),Nowell ""Papa"" Glass (b,dr)              "
Orchestre National De Lille ;1986;label;Astor Piazzolla (bandoneon),Didier Lockwood (vln),Jean-Claude Casadesus (directeur),Jacques Higelin (soliste) (p,Augustin Dumay (v
Otis Rush and The Professor's Blues Review ;1986;label;Eric Clapton (voc,Otis Rush (voc,Robert Cray (voc,Luther Allison (voc,Professor Eddie Lusk (voc,Anthony Palmer (g),Fred Barnes (b),Eddie Turner (dr)
"Eddie Palmieri &amp; His Salsa Orchestra ";1986;label;Eddie Palmieri (p),Cali Aleman (ld voc),Jose Ramirez (voc),Anthony Carello (voc,Juan Torres (tp),Charles Sepulveda Rivera (tp),Jose Rodriguez (tb),Angel Vasquez (tb),Hector Veneras Manriguez (fl),Paolo Huerta Melendez (b),Carlos Cotto (dr,Giovanni Hidalgo 
Paulinho Da Viola ;1986;label;Paulinho Da Viola (voc,Cesar Faria (g),Dininho (b),Joel Do Bandolim (bandolim),Hercules Pereira Nunes (dr),Celsinho (perc),Cabelinho (perc),Jorginho Do Pande
Robert Cray Band ;1986;label;Richard Cousins (b),Robert Cray (voc,Peter Boe (kbds),David Olson (dr) 
Ruby Turner ;1986;label;Ruby Turner (voc),Kate Shanks (bvoc),Nigel Rickhards (bvoc,Bob Wilson (bvoc,Nigel Darvill (kbds),Billy Paul (s),Roger Inniss (b),Bob Lamb (dr)    
SANDOVAL ;BAND;label;Arturo Sandoval (
Simply Red ;1986;label;"Ian Kirkham (sax),Mick ""red"" Hucknall (voc),Sylvan Richardson (g),Fritz McIntyre (back voc,Tim Kellett (back voc,Tony Bowers (b),Chris Joyce (dr),Janette Sewell (a"
Sadao Watanabe ;1986;label;Sadao Watanabe (as,Yuichi Togashiki (dr),Bobby Broom (g),Souichi Noriki (kbds),Akira Okazawa (b),Steve Moss (perc)
Sade ;1986;label;Sade Adu (voc),Stuart Matthewman (bvoc,Andrew Male (bvoc,James Mc Millan (tp),Paul Spencer Denman (b),Martin Ditchman (dr),Robin Jones (perc),Leroy Osbourne (bvoc),Gordon Munte (g),Jake Jacas (bvoc,tb)              
Schildpatt ;1986;label;Gabriel Schiltknecht (voc,Felix Hodel (fl),Patrick Schwitter (voc,Roland Schiltknec
Special EFX ;1986;label;Chiele Minucci (g),Rob Aries (kbds),Jeff Andrews (b),Denis Chambers (dr),George Jinda (per
Spyro Gyra ;1986;label;Jay Beckenstein (s,Tom Schuman (kbds),Dave Samuels (vb,Kim Stone (b),Julio Fernandez (g),Richie Morales (dr),Manolo Badrena (p
Stephan Eicher ;1986;label;Stephan Eicher (kbds,voc)             
Strunz and Farah ;1986;label;Jorge Strunz (g),Adeshir Farah (g),Ciro Hurtado (g) 
Talk Talk ;1986;label;Marc Hollis (voc),John Turnbull (g),Rupert Black (kbds),Paul Webb (b),Lee Harris (dr),Philip Reis (perc),Leroy Williams (p
The Neville Brothers ;1986;label;Willie Green (dr),Aaron Neville (voc,Cyril G. Neville (voc,Arthur L. Neville (voc,Charles B. Neville (s,Brian Stoltz (voc,Darryl Johnson (voc,b)               
Trouble Funk ;1986;label;Robert Reed (voc,Taylor Reed (tp,James Avery (voc,Tony Fischer (voc,Dean Harris (tp),Keith Bazemore (tb),David Rudd (s),Alonzo Robertson (dr),Timothy David (perc,Dennis Sterling (
Walt Disney World All Stars ;1986;label;Ron Miller (b),Bubba Kolb (p),David Joy (tp),Don Mikiten (s),Keith Wilson (dr),Ron Rodriguez (co
