AFRICAN FLASHBACK;2005;label;Henri Texier,Philippe Tessier
AMIR (ALBUM D'HENRI TEXIER);1976;label;Henri Texier
AN INDIAN'S WEEK;1993;label;Henri Texier,Michel Orier,Sonny Rollins
AT BARLOYD'S;2018;label;Vincent Bourgeyx,Duke Ellington,Gordon Jenkins,Gigi Gryce,Sonny Rollins,Bruno Pfeiffer
AUTOUR DE MINUIT (ALBUM);2007;label;Julie Pietri,Juste quelqu'un,Enzo Enzo,Michel Berger,Trigo Limpio
BLUESINE;1983;label;Johnny Griffin
CARNET DE ROUTES;1995;label;Henri Texier,Michel Orier,Philippe Tessier
CHANGEZ TOUT;1975;label;Michel Bernholc,Deux Vies,Eddy Mitchell
COMING YESTERDAY : LIVE AT SALLE GAVEAU 2019;2021;label;Volker Dueck,Guy Pedersen,Louis Moutin,Diego Imbert,Duke Ellington,Johnny Griffin
COMME UN MANOUCHE SANS GUITARE;2007;label;Phil Boutelje
DU CHANT A LA UNE !...;1958;label;Denis Bourgeois,Lucien Ginsburg,Smoke Gets,Evguenie Sokolov
DUSK IS A QUIET PLACE;2013;label;
ELECTRODE : MARTIAL SOLAL JOUE MICHEL MAGNE;1968;label;Don Cherry,Johnny Griffin
EXO (ALBUM DE PIERRE DE BETHMANN);2016;label;
EXPLORE (ALBUM DE SIXUN);1988;label;Ouege Touist,Louis Winsberg,Peter Tolo,Dominique Borde,Jeff Rochut
EXPOSITION SANS TABLEAU;2006;label;Johnny Griffin
FACE-A-FACE (ALBUM);2006;label;Mounir Troudi
FAST MOOD;1999;label;Thierry Jousse,Johnny Griffin
FOLLOW ME (ALBUM DE JEAN-MICHEL PILC);2004;label;Vincent Josse,Johnny Hess,Sonny Rollins
FRAISE VANILLE;2007;label;Minuit Orly,Philippe Eveno,Olivier Koundouno
FRENCHY (ALBUM DE THOMAS DUTRONC);2020;label;Henri Betti,Billy Gibbons,Sidney Bechet,Tony Bennett,Rod McKuen,Jeff Goldblum,Eddy Mitchell
GEORGES BRASSENS JOUE AVEC MOUSTACHE ET LES PETITS FRANCAIS;1979;label;
HAPPY REUNION;1980;label;Bud Powell,Joseph Oldenhove,Johnny Griffin
HIT (ALBUM DE BAPTISTE TROTIGNON);2014;label;Georges Kiosseff
IN AND OUT (ALBUM DE SOLAL ET GRIFFIN);2000;label;Johnny Griffin,Ben Webster,Lucky Thompson
JAZZ A GAVEAU ET CONCERT A GAVEAU VOL. 2;1962;label;Guy Pedersen,Johnny Griffin
JULIE PIETRI ET LE MUSIC ART ORCHESTRA : LIVE AU BATACLAN;2008;label;Julie Pietri,Juste quelqu'un,Enzo Enzo,Michel Berger,Trigo Limpio
JUST FRIENDS (ALBUM DE MARTIAL SOLAL);1997;label;Johnny Griffin
LIPOPETTE BAR;2006;label;Oxmo Puccino,Ludovic Bruni
LIVE AT THE VILLAGE VANGUARD (ALBUM DE SOLAL);2008;label;Focus Vif,Vincent Cotro,Bruno Pfeiffer,Philippe Elhem,Johnny Griffin
LONGITUDE (ALBUM);2007;label;Louis Moutin,Bruno Pfeiffer,Johnny Griffin
MARTIAL SOLAL - WORKS FOR PIANO AND TWO PIANOS;2015;label;Peer Gynt,Ludovic Florin,Genius Shines,Jeff Simon,Johnny Griffin
MARTIAL SOLAL DODECABAND PLAYS ELLINGTON;2007;label;Duke Ellington,George Russell,Steve Loewy,Toni Russo,Roger Guerin,Wider World,Johnny Griffin
MASTERS IN BORDEAUX ET MASTERS IN PARIS;2017;label;Sidney Bechet,Johnny Griffin,Elvin Jones,Duke Ellington
MOVABILITY;1976;label;Georg Brunner-Schwer,Willi Fruth,Kenneth Knudsen,Johnny Griffin
PORTRAIT IN BLACK AND WHITE;2000;label;Johnny Griffin
RUE DE SEINE (ALBUM DE SOLAL ET DOUGLAS);2006;label;Nic Jones,Johnny Griffin
SANS TAMBOUR NI TROMPETTE (ALBUM DE MARTIAL SOLAL);1971;label;Guy Pedersen,Johnny Griffin
SERGE GAINSBOURG NDEG4;1962;label;Smoke Gets,Evguenie Sokolov
SHARE (ALBUM DE BAPTISTE TROTIGNON);2009;label;Suite Trotignon,Duke Ellington,Otis Brown
SISYPHE (ALBUM DE PIERRE DE BETHMANN);2014;label;Vincent Cotro
SNAKES AND LADDERS;2010;label;Simon Goubert,Jef Morins,Louis Winsberg
SO EXCITED (ALBUM);2014;label;Pointer Sisters,Mitch Olivier,Lord Kossity
SOLITUDE (ALBUM);2007;label;Duke Ellington,Johnny Griffin
SOLO (ALBUM DE BAPTISTE TROTIGNON);2003;label;
SOLO II;2005;label;
SONG, SONG, SONG;2012;label;Die Ruh
SUITE AFRICAINE;1999;label;Henri Texier,Michel Orier,Philippe Tessier,Soweto Sorrow
SUITE FOR FLUTE AND JAZZ PIANO TRIO;1975;label;
SUITE POUR UNE FRISE;1962;label;Guy Pedersen,Teddy Kotick,Johnny Griffin
SUITE...;2010;label;
TRIANGLE (ALBUM DE MARTIAL SOLAL);2007;label;Peter Erskine,Johnny Griffin
UTOPIA (ALBUM DE LEILA OLIVESI);2015;label;Yoni Zelnik,Bruno Pfeiffer,Vincent Cotrot
VARECH (ALBUM D'HENRI TEXIER);1977;label;Henri Texier
