Etienne Daho ;2014;label;Etienne Daho (Artist/Lead vocal),Philippe Entressangle (Drums),Marcello Giuliani (Bass),Mako (Guitars),Francois Poggio (Guitars),Alexis Anerilles 
;;;
Dr. John and Band ;1993;label;Ronnie Cuber (bs),Dr John (p,Fred Staehle (dr),Smiley Ricks (perc),Dave Barard (b),Cranston Clements (g),Eric Traub (s),Charlie Miller (t
;;;
The Daptone Super Soul Revue ;2014;label;Timothy Allen (Guitar),Abraham Amayo (Vocals),Miles Arntzen (Drums),Adam Ascione (Organ),William Aukstik (Trumpet),Charles Bradley (Vocals),Alexander Chakour (Guitar/Backing Vocals),Vincent Chiarito (Bass),Joseph Crispiano (Guitar),Fredrick Deboe (Saxophone),Reinaldo Dejesus (Conga),Starr Duncan Lowe (Vocals),Marcus Farrar (Shekere),Cochemea Gastelum (Saxophone),Sharon Jones (Vocals),Raymond Mason (Trombone),Martin Perna (Saxophone),Jeffrey Pierce (Trumpet),Robert Rast (Organ),Gabe Roth (Bass),Carlos Sanchez (Drums/Back vocals),William Schalda (Organ/Backing vocals),Paul Schalda (Guitar/Backing vocals),Homer Steinweiss (Drums),Franklin Stribling (Guitar/Backing Vocals),Neal Sugarman (Saxophone),Fernando Velez (Conga),Saundra Williams 
;;;
STEPHAN EICHER and FRIENDS ;1996;label;"Stephan Eicher (GUIT.VOC.),Achim Meier (KB),Manu Katche (DR),Pino Palladino (B),Sam Broussard (GUIT),Dheli Moussa ""Jali Musa Jawara"" Diawara (CORA),Than Lam (VOC)   "
;;;
Ry X ;2014;label;Ry X (Guitar/Vocals/Keys),Jens Kuross (Keys
;;;
"Myrczek &amp; Tomaszewski ";2014;label;Wojciech Myrczek (Voice),Pawel Tomaszewski
;;;
Van Morrison ;1974;label;Van Morrison (voc,Jerome Rimson (b),Dallas Daylor (dr),Pete Wingfield (p,el-p)            
;;;
