Meade Lux
Karl Suessdorf
John Blackburn
Norman Gimbel
Vernon Duke
Ted Koehler
Gene DePaul
Betty Comden
Darryl Phinnessee
Bill Burks
Jed Wilcox
Claude Delorme
Jean-Jacques Pussiau
Bob Rusch
Guy Skornik
Joel Favreau
Gabriel Yared
Michel Cœuriot
Michel Coeuriot
Stan Conover
John Beal
Mickey Crofford
Bob Simpson
Bernie Hanighem
Francois Bernheim
 Bernheim
Joni Mitchell
Brad McKue
Sammy Fain
Ray Barretto
Bette Midler
Terry Gross
Moncef Fehri
Sascha Kleis
Ismaël Corrêa
Ismael Correa
Ismaël Correa
Malcolm Pollack
Kim Biggs
Lynn Green Root
Steve Beresford
Stephen Sondheim
Greg Calbi
Rich Breen
Robert Sour
Jack Strachey
Pierre Boussaguet
Erik Satie
Harry Link
Creed Taylor
Brett Swain
Tom Waits
Johnny Green
Benoît Corboz
Salvatore Dardano
Benoit Corboz
Pharrell Williams
Julien Basseres
Wiz Khalifa
Edward Eliscu
Jule Styne
Jacques Dutronc
Iggy Pop
Cecil Mack
Lindsay Planer
Walter Donaldson
Xavier Prévost
Turner Layton
Arthur Schwartz
Richard Bock
Frank Loesser
Jimmy McHugh
George Avakian
Michel Magne
Jimmy Van Heusen
Billy Strayhorn
Don Raye
Mack Gordon
Ralph Rainger
Stan Kenton
Michael Cuscuna
Victor Young
Gerald Marks
Sammy Cahn
Kurt Weill
Henry Creamer
Paul Francis
James Van Heusen
Hoagy Carmichael
John Hammond
Edward Heyman
Van Gelder
Orrin Keepnews
Dorothy Fields
Alfred Loew
Ned Washington
Norman Granz
Reid Miles
Cole Porter
Rudy Van Gelder
Harry Warren
Harold Arlen
Richard Rodgers
Johnny Burke
Alfred Lion
Ted Fio Rito
Lorenz Hart
Ira Gershwin
George Gershwin
Gus Kahn
Andy Razaf
Oscar Hammerstein
