Name,Date,Venue,Time,Notes
Bongo Joe,1972-04-28,Other,,
Bongo Joe,1972-04-29,Other,,
Bongo Joe,1972-04-30,Other,,
Kid Sheik,1972-04-28,Jazz Tent,,
Kid Sheik,1972-04-29,Jazz Tent,,
Kid Sheik,1972-04-30,Jazz Tent,,
Babe Stovall,1972-04-27,Blues,,
Ott Singers,1972-04-27,Gospel,,
Babe Stovall,1972-04-28,Blues,,
Ott Singers,1972-04-28,Gospel,,
Babe Stovall,1972-04-29,Blues,,
Ott Singers,1972-04-29,Gospel,,
Babe Stovall,1972-04-30,Blues,,
Ott Singers,1972-04-30,Gospel,,
Big Joe Williams,1972-04-27,Blues,,
Fred McDowell,1972-04-27,Blues,,
Percy Randolph,1972-04-27,Blues,,
Anne Pavageau,1972-04-27,Gospel,,
James Rivers,1972-04-27,Jazz Tent,,
Porgy Jones,1972-04-27,Jazz Tent,,
Santo Pecora,1972-04-27,Jazz Tent,,
Big Joe Williams,1972-04-28,Blues,,
Fred McDowell,1972-04-28,Blues,,
Percy Randolph,1972-04-28,Blues,,
Anne Pavageau,1972-04-28,Gospel,,
James Rivers,1972-04-28,Jazz Tent,,
Porgy Jones,1972-04-28,Jazz Tent,,
Santo Pecora,1972-04-28,Jazz Tent,,
Big Joe Williams,1972-04-29,Blues,,
Fred McDowell,1972-04-29,Blues,,
Percy Randolph,1972-04-29,Blues,,
Anne Pavageau,1972-04-29,Gospel,,
James Rivers,1972-04-29,Jazz Tent,,
Porgy Jones,1972-04-29,Jazz Tent,,
Santo Pecora,1972-04-29,Jazz Tent,,
B.B. King,1972-04-29,Special Guest,,
Big Joe Williams,1972-04-30,Blues,,
Fred McDowell,1972-04-30,Blues,,
Percy Randolph,1972-04-30,Blues,,
Anne Pavageau,1972-04-30,Gospel,,
James Rivers,1972-04-30,Jazz Tent,,
Porgy Jones,1972-04-30,Jazz Tent,,
Santo Pecora,1972-04-30,Jazz Tent,,
Clifton Chenier,1972-04-27,Blues,,
Roosevelt Sykes,1972-04-27,Blues,,
Tony Fougerat,1972-04-27,Jazz Tent,,
Clifton Chenier,1972-04-28,Blues,,
Roosevelt Sykes,1972-04-28,Blues,,
Tony Fougerat,1972-04-28,Jazz Tent,,
Clifton Chenier,1972-04-29,Blues,,
Roosevelt Sykes,1972-04-29,Blues,,
Tony Fougerat,1972-04-29,Jazz Tent,,
Clifton Chenier,1972-04-30,Blues,,
Roosevelt Sykes,1972-04-30,Blues,,
Tony Fougerat,1972-04-30,Jazz Tent,,
Eureka Brass Band,1972-04-27,Jazz Tent,,
Tuxedo Brass Band,1972-04-27,Jazz Tent,,
Mardi Gras Indians,1972-04-27,Other,,
Eureka Brass Band,1972-04-28,Jazz Tent,,
Tuxedo Brass Band,1972-04-28,Jazz Tent,,
Mardi Gras Indians,1972-04-28,Other,,
Jimmy Smith,1972-04-28,Special Guest,,
Eureka Brass Band,1972-04-29,Jazz Tent,,
Tuxedo Brass Band,1972-04-29,Jazz Tent,,
Mardi Gras Indians,1972-04-29,Other,,
Eureka Brass Band,1972-04-30,Jazz Tent,,
Tuxedo Brass Band,1972-04-30,Jazz Tent,,
Mardi Gras Indians,1972-04-30,Other,,
Robert Pete Williams,1972-04-27,Blues,,
Macedonia Male Choir,1972-04-27,Gospel,,
The Zion Harmonizers,1972-04-27,Gospel,,
Olympia Brass Band,1972-04-27,Jazz Tent,,
Willie Tee and The Gaturs,1972-04-27,Soul,,
Robert Pete Williams,1972-04-28,Blues,,
Macedonia Male Choir,1972-04-28,Gospel,,
The Zion Harmonizers,1972-04-28,Gospel,,
Al Belletto Quartet,1972-04-28,Jazz Tent,,
Olympia Brass Band,1972-04-28,Jazz Tent,,
Willie Tee and The Gaturs,1972-04-28,Soul,,
Robert Pete Williams,1972-04-29,Blues,,
Macedonia Male Choir,1972-04-29,Gospel,,
The Zion Harmonizers,1972-04-29,Gospel,,
Al Belletto Quartet,1972-04-29,Jazz Tent,,
Olympia Brass Band,1972-04-29,Jazz Tent,,
Willie Tee and The Gaturs,1972-04-29,Soul,,
Robert Pete Williams,1972-04-30,Blues,,
Macedonia Male Choir,1972-04-30,Gospel,,
The Zion Harmonizers,1972-04-30,Gospel,,
Olympia Brass Band,1972-04-30,Jazz Tent,,
Willie Tee and The Gaturs,1972-04-30,Soul,,
Gospel Inspirations,1972-04-27,Gospel,,
Lou Sino and the Bengals,1972-04-27,Jazz Tent,,
