Revon Reed,1970-04-24,Cajun,,
Revon Reed,1970-04-25,Cajun,,
Revon Reed,1970-04-26,Cajun,,
Smilin' Joe,1970-04-24,Blues,,
Smilin' Joe,1970-04-25,Blues,,
Smilin' Joe,1970-04-26,Blues,,
Smilin' Joe,1970-04-23,Blues,12:00 PM,
Revon Reed,1970-04-23,Cajun,12:00 PM,
Percy Randolph,1970-04-24,Blues,,
Snooks Eaglin,1970-04-24,Blues,,
Willie B. Thomas,1970-04-24,Blues,,
Bois Sec and Sons,1970-04-24,Cajun,,
Jerry Deviller,1970-04-24,Cajun,,
Sady Courville,1970-04-24,Cajun,,
Savy Augustine,1970-04-24,Cajun,,
Anne Pavageau,1970-04-24,Gospel,,
Gospelettes,1970-04-24,Gospel,,
Percy Randolph,1970-04-25,Blues,,
Snooks Eaglin,1970-04-25,Blues,,
Willie B. Thomas,1970-04-25,Blues,,
Bois Sec and Sons,1970-04-25,Cajun,,
Jerry Deviller,1970-04-25,Cajun,,
Sady Courville,1970-04-25,Cajun,,
Savy Augustine,1970-04-25,Cajun,,
Anne Pavageau,1970-04-25,Gospel,,
Gospelettes,1970-04-25,Gospel,,
Percy Randolph,1970-04-26,Blues,,
Snooks Eaglin,1970-04-26,Blues,,
Willie B. Thomas,1970-04-26,Blues,,
Bois Sec and Sons,1970-04-26,Cajun,,
Jerry Deviller,1970-04-26,Cajun,,
Sady Courville,1970-04-26,Cajun,,
Savy Augustine,1970-04-26,Cajun,,
Anne Pavageau,1970-04-26,Gospel,,
Gospelettes,1970-04-26,Gospel,,
Roosevelt Sykes,1970-04-24,Blues,,
Adam Landreneau,1970-04-24,Cajun,,
Alice Mae Victor,1970-04-24,Gospel,,
Roosevelt Sykes,1970-04-25,Blues,,
Adam Landreneau,1970-04-25,Cajun,,
Alice Mae Victor,1970-04-25,Gospel,,
Roosevelt Sykes,1970-04-26,Blues,,
Adam Landreneau,1970-04-26,Cajun,,
Alice Mae Victor,1970-04-26,Gospel,,
Percy Randolph,1970-04-23,Blues,12:00 PM,
Snooks Eaglin,1970-04-23,Blues,12:00 PM,
Willie B. Thomas,1970-04-23,Blues,12:00 PM,
Bois Sec and Sons,1970-04-23,Cajun,12:00 PM,
Jerry Deviller,1970-04-23,Cajun,12:00 PM,
Sady Courville,1970-04-23,Cajun,12:00 PM,
Savy Augustine,1970-04-23,Cajun,12:00 PM,
Anne Pavageau,1970-04-23,Gospel,12:00 PM,
Gospelettes,1970-04-23,Gospel,12:00 PM,
Ambrose Thibodaux,1970-04-24,Cajun,,
Ambrose Thibodaux,1970-04-25,Cajun,,
Ambrose Thibodaux,1970-04-26,Cajun,,
Roosevelt Sykes,1970-04-23,Blues,12:00 PM,
Adam Landreneau,1970-04-23,Cajun,12:00 PM,
Alice Mae Victor,1970-04-23,Gospel,12:00 PM,
Eureka Brass Band,1970-04-23,Parade,12:00 PM,
Mardi Gras Indians,1970-04-23,Parade,2:30 PM,
Cyprien Landreneau,1970-04-24,Cajun,,
The Zion Harmonizers,1970-04-24,Gospel,,
Mardi Gras Indians,1970-04-24,Parade,2:30 PM,
Cyprien Landreneau,1970-04-25,Cajun,,
The Zion Harmonizers,1970-04-25,Gospel,,
Mardi Gras Indians,1970-04-25,Parade,2:30 PM,
Cyprien Landreneau,1970-04-26,Cajun,,
The Zion Harmonizers,1970-04-26,Gospel,,
Mardi Gras Indians,1970-04-26,Parade,2:30 PM,
Ambrose Thibodaux,1970-04-23,Cajun,12:00 PM,
Clancy 'Blues Boy' Lewis,1970-04-24,Blues,,
Gospel Inspirations,1970-04-24,Gospel,,
Rev. Johnny Youngblood,1970-04-24,Gospel,,
Olympia Brass Band,1970-04-24,Parade,12:00 PM,
Clancy 'Blues Boy' Lewis,1970-04-25,Blues,,
Rev. Johnny Youngblood,1970-04-25,Gospel,,
Clancy 'Blues Boy' Lewis,1970-04-26,Blues,,
Gospel Inspirations,1970-04-26,Gospel,,
Rev. Johnny Youngblood,1970-04-26,Gospel,,
