Tricky ;2003;label;Tricky,Wayne Nunes,Perry Mezins,Frankavilla Constanza,Gareth Bowen,Kelly Appleton
;;;
"Tuck &amp; Patti ";2003;label;Patti Cathcart,Tuck Andress
;;;
Turin Brakes ;2003;label;Paridjaman Gale,Olly Knights,Phil Marten
;;;
Two Banks Of Four ;2003;label;Paul Fredericks,Bembe Segue,Chris Bowden,Neil Yates,Robin Mularkey,Leo Taylor,Ski Oakenfull,Rob Gallagher backing,Demus,Lorrie Etienne queen,
;;;
Van Morrison ;2003;label;Van Morrison alto sax, guitar,,Neil Charles backing,Matt Holland,Winning Martin sax, clarinet,,David Hayes,Irwin Bobby
;;;
Vivian ;2003;label;Vivian Roger,Hegi Dominik,Marcel Jeker,Muller Adrian,Wicki Stefan
;;;
Yes ;2003;label;Jon Anderson,Steve Howe,Rick Wakeman,Chris Squire,Alan White
;;;
Yo La Tengo ;2003;label;Ira Kaplan,Georgia Hubley,James McNew
;;;
ZZ Top ;1996;label;Billy Gibbons,Frank Beard,Dusty Hill
;;;
ZZ Top ;2003;label;Billy Gibbons,Dusty Hill,Frank Beard
;;;
Zorg ;2003;label;"Catia Bellini,Guillaume Wuhrmann,Stephane ""Totor"" Tornare,Raphael Bovey,Virginie Favre,Marion Rolland"
;;;
!!! ;2004;label;Tyler Pope,Gorman Daniel,Wilson Allan,John Pugh,Justin Van Der Volgen,Nic Offer,Mario Andreoni
;;;
16 Horsepower ;2004;label;David Eugene Edwards,Tola Jean-Yves,Pascal Humbert
;;;
Air ;2004;label;Nicolas Godin guitar,,Jean-Benoit Dunckel,Dave Palmer,Earl Harvin
;;;
Al Jarreau: Accentuate The Positive ;2004;label;Al Jarreau,Debbie Davis,Ross Bolton,Chris Walker,Mark Simmons,Turano Joe,Larry Williams
;;;
Alicia Keys ;2004;label;Alicia Keys,Dave Watson,Arthur White,Onree Gill director,,Anthony Miller,Steven Rodriguez,Paul John,Jessica Wilson,Stoudmire Denise,Jermaine Paul
;;;
Amp Fiddler ;2004;label;Amp Fiddler vocal,,Ron Wright,Paul Randolph,James Shelton,Gilles Peterson,Stephanie McKay,Petway Patrice
;;;
Ana Salazar ;2004;label;Salazar Ana,McGill Guillermo,Ordonez Jose Luis,Munoz Ascension Angulo,Yelsi Heredia,Perez Jesus,Gomez Jerez Eva Maria,Rivero Rodriguez Jose A.,Pablo Martin
;;;
"Andre ""Dede"" Ceccarelli &amp; Friends ";2004;label;Bireli Lagrene,Andre Ceccarelli,Stephy Haik,El-Malek David,Baptiste Trotignon,Remi Vignolo
;;;
Angelique Kidjo ;2004;label;Kidjo Angelique,Thierry Fanfant,Vaton Thierry,Latabi Diouani,Zerrad Lucien
;;;
Archive ;2004;label;Craig Walker,Griffiths Danny,Keeler Darious,Steve Barnad,Steve Watts,Mike Murcombe,Karl Holt
;;;
Avril ;2004;label;Magnon Frederic guitar,,Mackowiak Jerome,Hilse Gregor,Hanotte Charles
;;;
B.B. King ;2004;label;B.B. King,James Bolden musical,Stanley Abernathy,Melvin Jackson,Walter King,Dennis Charlie,Warren Leon,Toney Jame,Richards Reggie,Emphrey Calep Jr.
;;;
Bang Gang ;2004;label;Bardi Johannsson guitar, electric guitar, vocals,,Jon Atli Helgason,Gunnarsson Franz guitar, electric,Olga Olafsdottir,Wei Lin,Esther Talia Casey,Ingolfsson Hallur,Valdimar Kristjonsson,Roland Hartwell,Orri Egilsson Hrafnkell
;;;
Barbara Hendricks: Jazz project ;2004;label;Barbara Hendricks,Mathias Algottson,Morgan Hoglund,Magnus Lindgren,Fredrik Jonsson
;;;
Black Eyed Peas ;2004;label;"Will.i.am,Priese Board horn, bass, musical,Stacy Ferguson,Jaime ""Taboo"" Gomez,Keith Harris,Tim ""Izo"" Orindgreff wind,George Pajon,aple.de.ap"
;;;
Black Rebel Motorcycle Club ;2004;label;Peter Hayes guitar,,Robert Turner,Nick Jago
;;;
Blonde Redhead ;2004;label;Pace Amedeo,Kazu Makino bass,,Simone Pace
;;;
"Bluchel &amp; Von Deylen ";2004;label;Harald Bluchel,Von Deylen Christophe
;;;
Bobby McFerrin ;2004;label;Bobby McFerrin
;;;
Bobby Parker ;2004;label;Bobby Parker lead,Russel Dane Paul,Steve Cecil,Padula Andrew,Wenzel Ken,Dion Clay,Carlos Santana
;;;
"Boogie Squad &amp; Downtown Boogie ";2004;label;Green Giant,Vincz Lee,Dinamike,Blu Baby,Jyggy Jones
;;;
Bryan Ferry ;2004;label;Bryan Ferry,Good Colin,Paul Thompson,Mark Smith,Chris Spedding,Mick Green,Julia Thornton,Iain Dixon,Peacock Louise,Marshall Louise,Turner Katie,Katie Carne
;;;
Buddy Guy ;2004;label;Buddy Guy,Tim Austin,Marty Sammon,Ric Hall,Orlando Wright,Moynihan Jason,Carlos Santana
;;;
Bugge Wesseltoft feat. Dhafer Youssef ;2004;label;Bugge Wesseltoft piano,,Jonas Lonna,Rickard Gensollen,Olb Morten Vagan + acoustic,Bye Andreas,Vagen Jan Martin,Dhafer Youssef
;;;
Carlos Santana ;2004;label;Carlos Santana lead,Vargas Andy,Myron Dove,Jeff Cressman,Ortiz Bill,Perazzo Karl,Rekow Raul,Rietveld Benny,Chester D. Thompson,Dennis Chambers,Salvador Santana,Angelique Kidjo
;;;
Carlos Santana - Hymns For Peace ;2004;label;Carlos Santana lead,Vargas Andy,Myron Dove,Jeff Cressman,Ortiz Bill,Perazzo Karl,Rekow Raul,Rietveld Benny,Chester D. Thompson,Dennis Chambers,Patti Austin,Ravi Coltrane,Chick Corea,Idrissa Diop drum,,Herbie Hancock,Kidjo Angelique,Barbara Morrison,John McLaughlin,Salvador Santana,Sylver Sharp,Totah Sam,Steve Winwood
;;;
Cheap Trick ;2004;label;Rick Nielsen,Robin Zander,Thomas Petersson,Bun E. Carlos
;;;
Chic With Nile Rodgers ;2004;label;"Nile Rodgers,Sylver Sharp,Wagner Jessica,Bill Holloman,Ramm Curt,Milton,Barnes,Richard Hilton,Mitchel Cheri,Gerardo ""Jerry"" Velez,Omar Hakim"
;;;
Chick Corea Elektric band ;2004;label;Chick Corea,John Patitucci,Frank Gambale,Dave Weckl,Eric Marienthal
;;;
Christian Scott ;2004;label;Christian Scott,Luques Curtis,Matthew Stevens,James Williams
;;;
