Repeat;2016;;Caballero, JeanJass
BCN;2015;;Caballero, Sima, Ysha, F.L.O, Senamo
Yessaï;2016;;Caballero, JeanJass
Merci Beaucoup;2016;;Caballero, JeanJass
Les yeux fermés;2016;;Caballero, JeanJass, Lomepal
Toujours les mêmes;2018;;Caballero, JeanJass, Krisy
Un Cadeau;2020;;Caballero, JeanJass, Roméo Elvis, Slimka
Sur mon nom;2017;;Caballero, JeanJass
On est haut;2017;;Caballero, JeanJass
Tu connais pas;2018;;Caballero, JeanJass
Clonez-moi;2019;;Caballero, JeanJass
L'Amérique;2019;;Caballero, JeanJass
Dégueulasse;2019;;Caballero, JeanJass
La paire;2019;;Caballero, JeanJass
Challenge;2019;;Caballero, JeanJass
Demain;2020;;Caballero, JeanJass
Bruxelles arrives;2016;;Caballero, Roméo Elvis
Lotus Bleu;2013;;Roméo Elvis, ODC
Mon voisin;2013;;Roméo Elvis, ODC
Deuxième Ombre;2015;;Roméo Elvis, Primero
Présidentielles;2015;;Roméo Elvis, Primero
Dobberman;2015;;Roméo Elvis, Stikstof
Mouton Noir;2016;;Roméo Elvis, ODC, Original Flow Mastaz
Souvent;2016;;Phasm, Roméo Elvis
Vrai ou faux;2017;;Roméo Elvis, Caballero, JeanJass
Apollo;2017;;Roméo Elvis, ODC
Billet;2017;;Lomepal, Roméo Elvis
Carrière;2017;;Roméo Elvis, The Alchemist
Hit Sale;2017;;Roméo Elvis, Therapie Taxi
Acid;2017;;Roméo Elvis, Ulysse
Low & Lowgish;2017;;Roméo Elvis, Zwangere Guy
Incroyaux;2018;;Roméo Elvis, Caballero, JeanJass
Ride;2018;;Roméo Elvis, Di-Meh
On and On;2018;;Roméo Elvis, Her, Annen May Kantereit
La Sape;2018;;Roméo Elvis, Le 77
Ouais Bébé;2018;;Myth Syzer, Roméo Elvis
C'est mon boulot;2018;;Senamo, Roméo Elvis
Crazy Horse;2018;;Slimka, Roméo Elvis, Makala
1000°C;2018;;Lomepal, Roméo Elvis
Tout oublier;2018;;Angèle, Roméo Elvis
Laisser partir;2018;;Roméo Elvis, Black Box Revelation
Flex;2018;;Lord Gasmique, Roméo Elvis
Vrai ;2018;;ODC, Roméo Elvis
Signals;2019;;Todiefor, SHOEBA, Roméo Elvis
Ca pourrait être toi;2019;;F.L.O, Roméo Elvis, Isha
Paranoïa / Hood;2019;;D.A.V, Roméo Elvis
Jamais;2019;;Alkpote, Roméo Elvis
Ô mon amour;2020;;Tessa B., Roméo Elvis
Pinnochio;2015;;Booba, Gato Da Bato, Damso
Slow;2016;;Hamza, Damso
Ivre;2017;;Benash, Shay, Damso
Vitrine;2017;;Vald, Damso
Mobali;2017;;Siboy, Benash, Damso
Mwaka Moon;2017;;Kalash, Damso
Noche;2017;;Lacrim, Damso
113;2017;;Booba, Damso
Rêves Bizarres;2018;;Damso, Orelsan
RVRE;2018;;Damso, 404Billy
Tricheur;2019;;Nekfeu, Damso
Robe;2019;;Damso, Dadju
God Bless;2019;;Damso, Hamza
Personne;2019;;Damso, Vegedream
Parovie;2019;;Damso, D.A.V
Soliterrien;2019;;Ikaz boi, Damso
JTC/Praliné;2019;;Kalash, Damso
Promo;2020;;Ninho, Damso
But en Or;2020;;Kalash, Damso
Best;2020;;Damso, Innoss'b
