Francois Apap ;;basson;France;82;m;Nice
Stephane Cornard ;;contrebasson;France;82;m;Tourcoing
Christian Leger ;;trumpet;France;82;m;Dijon
Arnaud Geffray ;;trumpet;France;82;m;La Baule
Michel Haffner ;;trumpet;France;82;m;Mulhouse
Guillaume Dionnet ;;tuba;France;82;m;Vichy
Elisabeth Rigollet ;;piano;;82;f;
Louis-Herve Maton ;;basson;France;82;m;Valence
George Benson ;1943;guitar;USA;82;m;Pittsburgh
Phil Collins ;1951;drums;Angleterre;82;m;Chiswick
Keith Wilson ;1916;clarinet;USA;84;m;New Haven
Rachelle Ferrell ;1964;voice;USA;84;f;Berwyn
Heiner Wiberny ;1944;saxophone;Allemagne;84;m;Cologne
Klaus Osterloh ;1952;trumpet;Allemagne;84;m;Brême
Beverley Knight ;1973;voice;Angleterre;84;f;Wolverhampton
James Hutchinson ;1953;bass;USA;85;m;Lynn
Carlo Schob ;1953;saxophone;Suisse;86;m;Saint-Gall
Milt Jackson ;1923;piano;USA;87;m;Detroit
Randy Crawford ;1952;voice;USA;92;f;Macon
Randy Brecker ;1945;trumpet;USA;99;m;Cheltenham
Jean-Francois Bovard ;1948;trombon;France;100;m;Lausanne
Dave Horler ;1943;trombon;Angleterre;100;m;Lymington
Bernt Laukamp ;1946;trombon;Allemagne;100;m;
Billy Cobham ;1944;drums;Panama;101;m;Colon
Larry Williams ;;keyboars;USA;103;m;Kansas City
Nils Landgren ;1956;trombon;Suède;103;m;Degerfors
Tobias Preisig ;1981;violin;Suisse;104;m;Zurich
Patrice Rushen ;1954;voice;USA;105;f;Los Angeles
Lee Ritenour ;1952;guitar;USA;106;m;Los Angeles
Joe Sample ;1939;keyboars;USA;108;m;Houston
Wolf Schenk ;;trombon;Allemagne;109;m;
Monty Alexander ;1944;piano;Jamaique;112;m;Kingston
Angelique Kidjo ;1960;voice;Benin;121;f;Ouidah
Pepe Lienhard ;1946;saxophone;Suisse;122;m;Lenzburg
Howard Johnson ;1941;saxophone;USA;123;m;Montgomery
John Marshall ;1941;drums;Angleterre;124;m;Isleworth
Paolo Nutini ;1987;voice;Angleterre;124;m;Paisley
Steve Ferrone ;1950;drums;Angleterre;126;m;Brighton
Mick Hucknall ;1960;voice;Angleterre;129;m;Manchester
James Morrison ;1984;voice;Angleterre;129;m;Rugby
Greg Phillinganes ;1956;keyboars;USA;135;m;Detroit
David Sanborn ;1945;saxophone;USA;140;m;Tampa
Al Jarreau ;1940;voice;USA;146;m;Milwaukee
Patti Austin ;1950;voice;USA;184;f;Harlem
Nathan East ;1955;bass;USA;186;m;Philadelphia
Chaka Khan ;1953;voice;USA;190;f;Chicago
Claude Nobs ;1936;;Suisse;198;m;Montreux
Quincy Jones ;1951;trumpet;USA;207;m;Chicago
Herbie Hancock ;1940;piano;USA;209;m;Chicago
Toots Thielemans ;1922;harmonica;Belgique;209;m;Bruxelles
George Duke ;1946;keyboars;USA;251;m;San Rafael
